name,slug,description,price,compareAtPrice,sku,stockQuantity,categoryId,brandId,vendorId,ingredients,benefits,howToUse,isFeatured,isBestSeller,isNew,tags,imageUrls
"Himalaya Herbals Cleansing Milk","himalaya-cleansing-milk","Gentle cleansing milk for all skin types","350","389","HIMALAYA-MILK-001","100","69df5b9dca4013ac44bb7047","","","200ml","Beauty","Apply gently","true","false","true","beauty,mild,size:200ml",""
"Mamaearth Vitamin C Face Wash","mamaearth-vit-c-wash","Natural vitamin C face wash for brightening","430","453","MAMAEARTH-VC-001","50","69df5b9dca4013ac44bb7047","","","100ml","Beauty","Apply twice daily","true","false","false","natural,brightening,size:100ml",""
"Paracetamol 500mg","paracetamol-500mg","Pain and fever relief tablet","25","25","PARA-500-001","200","69df5b5eb75e50ae66f0f336","","","Pack of 10","Pharmacy","Take as needed","false","false","false","medicine,tablet,size:Pack of 10",""
"Basmati Rice Premium","basmati-rice-premium","Premium long grain basmati rice","250","294","BASMATI-1KG-001","500","69df5b5eb75e50ae66f0f338","","","1kg","Groceries","Cook with water","true","false","false","organic,premium,size:1kg",""
"Cotton T-Shirt","cotton-tshirt-blue","100% cotton comfortable t-shirt","400","500","TSHIRT-COTTON-001","75","69df5b5eb75e50ae66f0f33a","","","M-XL","Clothes & Shose","Machine wash","false","false","true","casual,cotton,size:M-XL",""
"Hand Sanitizer 500ml","hand-sanitizer-500ml","Effective hand sanitizer with aloe vera","120","133","SANITIZER-500-001","300","69df5b9dca4013ac44bb7049","","","500ml","Essentials","Apply to hands","false","false","false","hygiene,sanitizer,size:500ml",""
name,slug,description,price,compareAtPrice,sku,stockQuantity,categoryId,brandId,vendorId,ingredients,benefits,howToUse,isFeatured,isBestSeller,isNew,tags,imageUrls
"Himalaya Herbals Cleansing Milk","himalaya-cleansing-milk","Gentle cleansing milk for all skin types","350","389","HIMALAYA-MILK-001","100","6990895cbbc7fec47f170186","","","200ml","Skincare","Apply gently","true","false","true","skincare,mild,size:200ml","https://example.com/img1.jpg,https://example.com/img2.jpg"
"Mamaearth Vitamin C Face Wash","mamaearth-vit-c-wash","Natural vitamin C face wash for brightening","430","453","MAMAEARTH-VC-001","50","6990895cbbc7fec47f170186","","","100ml","Face Wash","Apply twice daily","true","false","false","natural,brightening,size:100ml","https://example.com/img3.jpg"
"Paracetamol 500mg","paracetamol-500mg","Pain and fever relief tablet","25","25","PARA-500-001","200","6990895cbbc7fec47f170186","","","Pack of 10","Pain Relief","T"Paracetamol 500mg","paracetamol-500mg","Pain and fever relief tablet","25","25"//example.com/img4.jpg"
"Basmati Rice Premium","basmati-rice-premium","Premium long grain basmati rice","250","294","BASMATI-1KG-001","500","6990895cbbc7fec47f170186""Basmati Rice Premium","basmati-rice-premium","Premium long grain basmati rice","250","294","BASMATI-1KG-001","500","6990895cbbc7fec47f170186""Basmati Rice Premium","basmati-rice-premium","Premium long grain basmati rice","250","294","BASMATI-1KG-001","500","6990895cbbc7fec47f170186""Basmati Rice Premium","basmate","Basmati Rice Premium","basmati-rice-premium","Premium long grain basmati rice","250","294","BASMATI-1KG-001","500","6990895cbbc7fec47f170186""Basmati Rice Premium","basmati-rice-premium","Premium long grain basmati rice","250","294","BASMATI-1KG-001","500","6990895cbbc7fec47f170186""Basmatir,size:500ml","https://example.com/img7.jpg"
